Detail,Facility,Current Rating,Last Inspection Date,City,Address
FoodInspectDetail.aspx?id=FA0009810,Circle K Site #2706068,Good,7/23/2024,Los Banos,410 N. Mercy Springs Road
FoodInspectDetail.aspx?id=FA0009650,Circle K Store #2703621,Good,4/2/2024,Los Banos,1704 E Pacheco Blvd
FoodInspectDetail.aspx?id=FA0009664,Circle K Store #2705017,Good,10/17/2023,Dos Palos,2549 Blossom St.
FoodInspectDetail.aspx?id=FA0009660,Circle K Store #2705018,Good,1/12/2024,Atwater,1021 Shaffer Rd
FoodInspectDetail.aspx?id=FA0010299,City Bazzar,Good,2/1/2024,Livingston,1471 B St. Ste A
FoodInspectDetail.aspx?id=FA0000231,City of Gustine Aquatics Center,Good,5/24/2024,Gustine,699 Third Ave.
FoodInspectDetail.aspx?id=FA0008236,"CLCM Company Inc, dba Carniceria Los Cerritos",Satisfactory,10/11/2024,Merced,235 W. 12th St. Ste I
FoodInspectDetail.aspx?id=FA0009828,Club Demonstration Services Inc. (Costco),Good,4/17/2026,Merced,1445 R St.
FoodInspectDetail.aspx?id=FA0000771,Club Mercedes Inc.,Good,11/22/2022,Merced,569 W 9th St
FoodInspectDetail.aspx?id=FA0006659,Coconut Cafe,Good,1/8/2025,Merced,3368 N. Hwy 59 Ste N
FoodInspectDetail.aspx?id=FA0007574,Coffee Bandits,Satisfactory,12/1/2023,Merced,309 W. Main St.
FoodInspectDetail.aspx?id=FA0005479,Coldstone Creamery,Satisfactory,9/26/2025,Merced,431 W. Main St.
FoodInspectDetail.aspx?id=FA0000924,Conchita's Panaderia,Satisfactory,4/2/2026,Atwater,1054 Third St
FoodInspectDetail.aspx?id=FA0010349,Cookin With Bailey,Good,6/11/2024,Turlock,18631 E. Bradbury
FoodInspectDetail.aspx?id=FA0003255,Copper Wings Cafe,Good,6/25/2026,Atwater,5050 N Santa Fe Dr
FoodInspectDetail.aspx?id=FA0010660,Copper Wings LLC,Good,6/19/2025,Atwater,1320 Broadway Ave.
FoodInspectDetail.aspx?id=FA0009022,Corbin Cash Spirits,Good,4/2/2026,Atwater,3133 Hull Road
FoodInspectDetail.aspx?id=FA0009747,Corner Market & Deli,Satisfactory,3/21/2024,Stevinson,20015 W. Third Ave.
FoodInspectDetail.aspx?id=FA0009338,Costco Warehouse Break Room (Valley Wide Vending),Good,4/17/2026,Merced,1445 R St.
FoodInspectDetail.aspx?id=FA0009730,Costco Wholesale #142,Good,4/17/2026,Merced,1445 R St.
FoodInspectDetail.aspx?id=FA0007199,Cottonwood Liquors,Good,10/23/2024,Delhi,9893 Stephens St.
FoodInspectDetail.aspx?id=FA0006440,Country Villa Merced Behavioral Health Center,Good,7/28/2025,Merced,1255 B St.
FoodInspectDetail.aspx?id=FA0003221,Country Waffles,Good,9/10/2024,Los Banos,845 W. Pacheco Blvd
