Facility,Current Rating,Last Inspection Date,City,Address
St. Paul Lutheran Church & School,Good,5/12/2026,Merced,2916 N. McKee Road
Staples the Office Superstore #0268,Good,11/8/2022,Merced,20 W. Olive Ave.
Star Club,Good,11/1/2022,Merced,1331 W. Main St.
Star Gas,Satisfactory,4/7/2025,Merced,1970 E Childs Ave
Starbucks #5919,Good,6/3/2024,Merced,360 W. 16th St. Ste A
Starbucks #70850,Good,9/12/2023,Merced,1993 W. Olive Ave.
Starbucks #9514,Good,3/10/2026,Merced,145 E. Yosemite Ave.
Starbucks Coffee #10491,Good,5/15/2026,Merced,700 Carol Ave.
Starbucks Coffee #5745,Satisfactory,12/8/2023,Merced,689 W. Olive Ave.
Starbucks Coffee #85979,Good,8/26/2025,Merced,5 E. 23rd St.
Starbucks Coffee Company #59960,Satisfactory,5/15/2024,Merced,1665 R St.
Starbucks Coffee Company #69271,Good,10/24/2023,Merced,856 S. Coffee St.
Stone Ridge Christian School,Good,3/20/2026,Merced,2738 W. Dan Ward Road
Street Corner Merced,Good,10/9/2024,Merced,809 S. Coffee St.
Subway,Good,8/17/2023,Merced,3566 G St.
Subway 14350,Good,6/2/2026,Merced,15 E 16th St.
Subway 37020,Good,6/2/2026,Merced,1459 Martin Luther King Jr Way # 8
Subway 39048,Good,5/15/2026,Merced,720 Carol Ave.
Subway Sandwich Shop,Good,6/6/2023,Merced,3250 N. G St. #D
Subway Sandwiches,Good,9/24/2025,Merced,1200 W. Olive Ave.
Sushi Cuisine,Good,11/8/2022,Merced,3544 G St.
